time,lx,ly,lz,lvx,lvy,lvz,l_yaw,l_yawrate,lx_sp,ly_sp,lz_sp,lex,ley,sx,sy,sz,svx,svy,svz,s_yaw,s_yawrate,xd,yd,zd,ex,ey,ez,e_yaw,ff_x,ff_y,ff_z,vx_p,vy_p,vz_p,vx_i,vy_i,vz_i,vx_d,vy_d,vz_d,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
4.9000,-0.484352,-3.941277,2.999927,1.593902,-0.227559,-0.001071,-1.313376,0.403913,1.4598415998874366,-3.7071104000435575,2.998592,1.9441935998874367,0.23416659995644265,-1.8489829301834106,-4.404261589050293,3.9972641468048096,1.7379639148712158,-0.8746015429496765,0.011258884333074093,-1.5006458759307861,0.3829042911529541,-0.2297652710733989,-4.908326945687633,3.999927,1.6192176591100118,-0.5040653566373399,0.00266285319519044,0.187269875930786,0.3906040447125288,0.10283088944093025,0.0,1.6192176591100118,-0.5040653566373399,0.00266285319519044,0.0,-0.0,0.0,-0.0,0.0,-0.0,2.0098217038225408,-0.40123446719640965,0.00266285319519044,0.374539751861572
4.9500,-0.484352,-3.941277,2.999927,1.593902,-0.227559,-0.001071,-1.313376,0.403913,1.551988399939438,-3.670383700025122,2.998592,2.036340399939438,0.27089329997487815,-1.7434585094451904,-4.456334590911865,3.9977643489837646,1.7525049448013306,-0.8280220031738281,0.009574810042977333,-1.478558897972107,0.35878878831863403,-0.2297652710733989,-4.908326945687633,3.999927,1.5136932383717916,-0.4519923547757676,0.002162651016235362,0.16518289797210683,0.3906040447125288,0.10283088944093025,0.0,1.5136932383717916,-0.4519923547757676,0.002162651016235362,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.9042972830843203,-0.3491614653348374,0.002162651016235362,0.33036579594421367
5.0000,-0.484352,-3.941277,2.999927,1.593902,-0.227559,-0.001071,-1.313376,0.403913,1.621220699969924,-3.6410282000130434,2.998592,2.105572699969924,0.3002487999869566,-1.6724318265914917,-4.48964262008667,3.998029947280884,1.7644283771514893,-0.7966673970222473,0.008419905789196491,-1.4576085805892944,0.341379851102829,-0.2297652710733989,-4.908326945687633,3.999927,1.4426665555180929,-0.4186843256009629,0.0018970527191162212,0.14423258058929433,0.3906040447125288,0.10283088944093025,0.0,1.4426665555180929,-0.4186843256009629,0.0018970527191162212,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.8332706002306216,-0.3158534361600327,0.0018970527191162212,0.28846516117858867
5.0500,-0.085503,-3.979622,3.000072,1.60977,-0.063608,-0.001163,-1.212056,0.394537,1.689902,-3.610405,2.998592,1.775405,0.369217,-1.600851058959961,-4.521749019622803,3.998241662979126,1.777199149131775,-0.7649639844894409,0.007462525274604559,-1.4508696794509888,0.33509770035743713,0.26559202994512776,-4.9159618314436,4.000071999999999,1.8664430889050887,-0.3942128118207977,0.0018303370208734293,0.23881367945098875,0.36942070807826377,0.13851997982946088,0.0,1.8664430889050887,-0.3942128118207977,0.0018303370208734293,0.0,-0.0,0.0,-0.0,0.0,-0.0,2.2358637969833524,-0.25569283199133686,0.0018303370208734293,0.4776273589019775
5.1000,-0.085503,-3.979622,3.000072,1.60977,-0.063608,-0.001163,-1.212056,0.394537,1.7579697500295302,-3.5784443999857642,2.998592,1.84347275002953,0.4011786000142359,-1.4926527738571167,-4.567431926727295,3.9985005855560303,1.7941977977752686,-0.7168868780136108,0.006320022512227297,-1.4314162731170654,0.3138761818408966,0.26559202994512776,-4.9159618314436,4.000071999999999,1.7582448038022445,-0.3485299047163055,0.0015714144439691324,0.21936027311706538,0.36942070807826377,0.13851997982946088,0.0,1.7582448038022445,-0.3485299047163055,0.0015714144439691324,0.0,-0.0,0.0,-0.0,0.0,-0.0,2.127665511880508,-0.21000992488684464,0.0015714144439691324,0.43872054623413076
5.1500,-0.085503,-3.979622,3.000072,1.60977,-0.063608,-0.001163,-1.212056,0.394537,1.8254392998921292,-3.5452368000541488,2.998592,1.910942299892129,0.4343854999458552,-1.4201807975769043,-4.59607458114624,3.9986517429351807,1.804117202758789,-0.6844395995140076,0.005672083236277103,-1.4127228260040283,0.3095579147338867,0.26559202994512776,-4.9159618314436,4.000071999999999,1.685772827522032,-0.3198872502973602,0.0014202570648187418,0.2006668260040283,0.36942070807826377,0.13851997982946088,0.0,1.685772827522032,-0.3198872502973602,0.0014202570648187418,0.0,-0.0,0.0,-0.0,0.0,-0.0,2.0551935356002957,-0.18136727046789933,0.0014202570648187418,0.4013336520080566
5.2000,-0.085503,-3.979622,3.000072,1.60977,-0.063608,-0.001163,-1.212056,0.394537,1.9134655999421244,-3.4995056000308113,2.998592,1.9989685999421243,0.4801165999691905,-1.3104478120803833,-4.636842250823975,3.9988038539886475,1.821620225906372,-0.6352964639663696,0.0046243430115282536,-1.3934389352798462,0.327920138835907,0.26559202994512776,-4.9159618314436,4.000071999999999,1.576039842025511,-0.27911958061962583,0.001268146011351945,0.18138293527984614,0.36942070807826377,0.13851997982946088,0.0,1.576039842025511,-0.27911958061962583,0.001268146011351945,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.9454605501037747,-0.14059960079016495,0.001268146011351945,0.3627658705596923
5.2500,-0.085503,-3.979622,3.000072,1.60977,-0.063608,-0.001163,-1.1973476001004546,0.39454614999993753,1.9794245499714411,-3.4633913500160953,2.998592,2.0649275499714412,0.5162316499839047,-1.199310541152954,-4.674859046936035,3.998872995376587,1.8437830209732056,-0.586064875125885,0.00384447886608541,-1.3798978328704834,0.3438800573348999,0.2793256173225286,-4.910696690872076,4.000071999999999,1.4786361584754828,-0.23583764393604056,0.0011990046234124918,0.1825502327700288,0.3673519346459596,0.14394172637440417,0.0,1.4786361584754828,-0.23583764393604056,0.0011990046234124918,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.8459880931214423,-0.0918959175616364,0.0011990046234124918,0.3651004655400576
5.3000,0.314774,-3.977139,3.000212,1.607272,0.099058,-0.001463,-1.114,0.394598,2.0446825,-3.4260254999999997,2.998592,1.7299085,0.5511135,-1.1246696710586548,-4.698338031768799,3.9989211559295654,1.8589321374893188,-0.5534585118293762,0.0035060413647443056,-1.3656588792800903,0.3585900664329529,0.7558491742657074,-4.874609161424031,4.000211999999999,1.8805188453243622,-0.17627112965523217,0.0012908440704340052,0.25165887928009023,0.3541399307575997,0.1740473816148996,0.0,1.8805188453243622,-0.17627112965523217,0.0012908440704340052,0.0,-0.0,0.0,-0.0,0.0,-0.0,2.234658776081962,-0.0022237480403325682,0.0012908440704340052,0.5033177585601805
5.3500,0.314774,-3.977139,3.000212,1.607272,0.099058,-0.001463,-1.114,0.394598,2.1092428500280302,-3.387467099983,2.998592,1.7944690000280292,0.589671750017001,-1.0117396116256714,-4.731044769287109,3.9989736080169678,1.8778269290924072,-0.5045284032821655,0.003428109921514988,-1.3431493043899536,0.3751617968082428,0.7558491742657074,-4.874609161424031,4.000211999999999,1.7675887858913788,-0.14356439213692163,0.0012383919830316614,0.2291493043899535,0.3541399307575997,0.1740473816148996,0.0,1.7675887858913788,-0.14356439213692163,0.0012383919830316614,0.0,-0.0,0.0,-0.0,0.0,-0.0,2.1217287166489784,0.03048298947797798,0.0012383919830316614,0.458298608779907
5.4000,0.314774,-3.977139,3.000212,1.607272,0.099058,-0.001463,-1.114,0.394598,2.1932722999171603,-3.3347493500530065,2.998592,1.87849829991716,0.6423896499469934,-0.9357349276542664,-4.7512664794921875,3.9989960193634033,1.888413906097412,-0.4715130031108856,0.0032615764066576958,-1.319202184677124,0.40399619936943054,0.7558491742657074,-4.874609161424031,4.000211999999999,1.6915841019199738,-0.1233426819318435,0.0012159806365961146,0.20520218467712392,0.3541399307575997,0.1740473816148996,0.0,1.6915841019199738,-0.1233426819318435,0.0012159806365961146,0.0,-0.0,0.0,-0.0,0.0,-0.0,2.0457240326775734,0.050704699683056104,0.0012159806365961146,0.41040436935424784
5.4500,0.314774,-3.977139,3.000212,1.607272,0.099058,-0.001463,-1.114,0.394598,2.236107249926713,-3.306703200048563,2.998592,1.9213332499267128,0.6704352499514395,-0.8207753300666809,-4.779187202453613,3.998990297317505,1.9052104949951172,-0.4206649363040924,0.0029321664478629827,-1.3022147417068481,0.42690128087997437,0.7558491742657074,-4.874609161424031,4.000211999999999,1.5766245043323883,-0.09542195897041772,0.001221702682494552,0.18821474170684804,0.3541399307575997,0.1740473816148996,0.0,1.5766245043323883,-0.09542195897041772,0.001221702682494552,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.930764435089988,0.07862542264448188,0.001221702682494552,0.3764294834136961
5.5000,0.314774,-3.977139,3.000212,1.607272,0.099058,-0.001463,-1.0496851001013663,0.396113799997611,2.318090949973115,-3.250858850018759,2.998592,2.003316949973115,0.7262801499812411,-0.7437674403190613,-4.795893669128418,3.998999834060669,1.9167122840881348,-0.38609370589256287,0.0027427226305007935,-1.2752668857574463,0.4524078071117401,0.8126181747029682,-4.844405497516375,4.000211999999999,1.5563856150220294,-0.04851182838795687,0.0012121659393304896,0.22558178565608,0.3435362279418299,0.19720294784826722,0.0,1.5563856150220294,-0.04851182838795687,0.0012121659393304896,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.8999218429638594,0.14869111946031036,0.0012121659393304896,0.45116357131216
