t,x,y,z,vx,vy,vz,yaw,yaw_rate,x_sp,y_sp,z_sp,er_L,et_L
1.70000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.909547,-2.458863,2.956111,-0.063348,-2.022199
1.72000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-1.047346,0.366916,0.929768,-2.483664,2.956111,-0.063348,-2.054199
1.74000,0.142936,-0.626963,2.956644,0.273588,-1.147421,0.001181,-0.948676,0.415338,0.950186,-2.508303,2.956111,-0.063348,-2.086199
1.76000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,0.970801,-2.532778,2.956111,-0.083902,-1.808207
1.78000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,0.991611,-2.557087,2.956111,-0.083902,-1.840207
1.80000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,1.012615,-2.581229,2.956111,-0.083902,-1.872207
1.82000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,1.033811,-2.605203,2.956111,-0.083902,-1.904207
1.84000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,1.055199,-2.629005,2.956111,-0.083902,-1.936207
1.86000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,1.076776,-2.652636,2.956111,-0.083902,-1.968207
1.88000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,1.098542,-2.676094,2.956111,-0.083902,-2.000207
1.90000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,1.120494,-2.699376,2.956111,-0.083902,-2.032207
1.92000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,1.142632,-2.722483,2.956111,-0.083902,-2.064207
1.94000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.948676,0.415338,1.164954,-2.745411,2.956111,-0.083902,-2.096207
1.96000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.843709,0.405496,1.187459,-2.768160,2.956111,-0.083902,-2.128207
1.98000,0.227376,-0.919939,2.957622,0.388535,-1.276843,0.000445,-0.843709,0.405496,1.210145,-2.790729,2.956111,-0.083902,-2.160207
2.00000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.233011,-2.813115,2.956111,-0.099759,-1.841964
2.02000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.256056,-2.835318,2.956111,-0.099759,-1.873964
2.04000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.279277,-2.857335,2.956111,-0.099759,-1.905964
2.06000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.302673,-2.879166,2.956111,-0.099759,-1.937964
2.08000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.326244,-2.900809,2.956111,-0.099759,-1.969964
2.10000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.349987,-2.922263,2.956111,-0.099759,-2.001964
2.12000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.373901,-2.943526,2.956111,-0.099759,-2.033964
2.14000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.397984,-2.964598,2.956111,-0.099759,-2.065964
2.16000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.422235,-2.985476,2.956111,-0.099759,-2.097964
2.18000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.446652,-3.006159,2.956111,-0.099759,-2.129964
2.20000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.843709,0.405496,1.471234,-3.026646,2.956111,-0.099759,-2.161964
2.22000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.744291,0.388596,1.495978,-3.046936,2.956111,-0.099759,-2.193964
2.24000,0.342229,-1.242565,2.958435,0.513549,-1.349163,-0.000723,-0.744291,0.388596,1.520885,-3.067028,2.956111,-0.099759,-2.225964
2.26000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.545951,-3.086919,2.956111,-0.108820,-1.883947
2.28000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.571176,-3.106609,2.956111,-0.108820,-1.915947
2.30000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.596557,-3.126097,2.956111,-0.108820,-1.947947
2.32000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.622094,-3.145381,2.956111,-0.108820,-1.979947
2.34000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.647784,-3.164461,2.956111,-0.108820,-2.011947
2.36000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.673626,-3.183334,2.956111,-0.108820,-2.043947
2.38000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.699618,-3.202000,2.956111,-0.108820,-2.075947
2.40000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.725758,-3.220457,2.956111,-0.108820,-2.107947
2.42000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.752045,-3.238705,2.956111,-0.108820,-2.139947
2.44000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.778478,-3.256741,2.956111,-0.108820,-2.171947
2.46000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.744291,0.388596,1.805054,-3.274566,2.956111,-0.108820,-2.203947
2.48000,0.487792,-1.576460,2.958912,0.642859,-1.370718,-0.001916,-0.646303,0.392818,1.831771,-3.292177,2.956111,-0.108820,-2.235947
2.50000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,1.858629,-3.309575,2.956111,-0.110985,-1.876841
2.52000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,1.885625,-3.326756,2.956111,-0.110985,-1.908841
2.54000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,1.912757,-3.343722,2.956111,-0.110985,-1.940841
2.56000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,1.940025,-3.360469,2.956111,-0.110985,-1.972841
2.58000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,1.967425,-3.376998,2.956111,-0.110985,-2.004841
2.60000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,1.994957,-3.393308,2.956111,-0.110985,-2.036841
2.62000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,2.022619,-3.409396,2.956111,-0.110985,-2.068841
2.64000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,2.050408,-3.425263,2.956111,-0.110985,-2.100841
2.66000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,2.078323,-3.440907,2.956111,-0.110985,-2.132841
2.68000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,2.106363,-3.456327,2.956111,-0.110985,-2.164841
2.70000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.646303,0.392818,2.134525,-3.471522,2.956111,-0.110985,-2.196841
2.72000,0.665922,-1.912367,2.959145,0.775626,-1.352047,-0.002753,-0.546604,0.405581,2.162807,-3.486491,2.956111,-0.110985,-2.228841
