timestamp,lat,lon,alt_gps,alt_ned,north,east,down,rtk_x,rtk_y,rtk_z
1749760823.921269556,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760824.160661644,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760824.400787603,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760824.660678137,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760824.920805636,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760825.180856301,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760825.401539645,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760825.660844981,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760825.920681017,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760826.180825539,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760826.421534167,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760826.681195926,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760826.941453538,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760827.160586415,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760827.420987934,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760827.681982587,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760827.920946375,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760828.180752712,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760828.420845997,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760828.660359460,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760828.920900726,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760829.181038462,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760829.420832283,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760829.680697565,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760829.900929090,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760830.161242605,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760830.421097390,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760830.680506117,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760830.941676740,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760831.160644522,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760831.420703183,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760831.660689872,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760831.920528752,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760832.180632405,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760832.420800249,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
1749760832.660422129,19.5942336,-99.2280874,2329.10,0.11,-0.06,-0.03,-0.10,-0.03,-0.06,0.11
